id,latitude,longitude,cluster
1,39.864021,-104.672194,airport
2,39.737924,-105.008268,downtown
3,39.781446,-104.878473,central_park
4,39.741523,-104.976337,downtown
5,39.743778,-104.973805,downtown
6,39.750463,-104.939267,city_park
7,39.72309,-104.969113,wash_park
8,39.852977,-104.667816,airport
9,39.770216,-104.88047,central_park
10,39.747023,-105.003659,downtown
11,39.703426,-104.984755,wash_park
12,39.763342,-104.874488,central_park
13,39.690374,-104.986178,wash_park
14,39.855238,-104.677227,airport
15,39.738201,-104.985555,downtown
16,39.745699,-104.984558,downtown
17,39.849749,-104.665036,airport
18,39.736699,-104.962271,downtown
19,39.851358,-104.678356,airport
20,39.710057,-104.95997,wash_park
21,39.764367,-104.896798,central_park
22,39.865629,-104.691024,airport
23,39.74773,-104.988207,downtown
24,39.745008,-104.962443,downtown
25,39.76673,-104.868909,central_park
26,39.757523,-104.961802,city_park
27,39.739472,-104.974898,downtown
28,39.720787,-105.00329,downtown
29,39.75464,-104.914178,city_park
30,39.750614,-104.952984,city_park
31,39.726862,-105.005568,downtown
32,39.757034,-104.950427,city_park
33,39.746324,-104.890811,central_park
34,39.788431,-104.883619,central_park
35,39.848433,-104.675876,airport
36,39.864264,-104.665433,airport
37,39.767573,-104.962014,city_park
38,39.732926,-104.990328,downtown
39,39.778284,-104.892343,central_park
40,39.851638,-104.678071,airport
41,39.688163,-104.975104,wash_park
42,39.756852,-104.954962,city_park
43,39.757736,-105.000921,downtown
44,39.703779,-104.966122,wash_park
45,39.776499,-104.886662,central_park
46,39.763335,-104.946451,city_park
47,39.712858,-104.96016,wash_park
48,39.746083,-104.930757,city_park
49,39.75096,-104.940488,city_park
50,39.707611,-104.960112,wash_park
51,39.766182,-104.895418,central_park
52,39.75317,-104.9491,city_park
53,39.733053,-104.994872,downtown
54,39.751941,-104.982989,downtown
55,39.755619,-105.003614,downtown
56,39.74032,-104.972507,downtown
57,39.754979,-104.96954,downtown
58,39.838834,-104.670107,airport
59,39.706652,-104.964957,wash_park
60,39.73805,-104.948781,city_park
61,39.691665,-105.000624,wash_park
62,39.731747,-104.984025,downtown
63,39.772555,-104.877205,central_park
64,39.740873,-104.950429,city_park
65,39.748787,-104.996321,downtown
66,39.769438,-104.886202,central_park
67,39.786063,-104.91212,central_park
68,39.776005,-104.89089,central_park
69,39.750286,-104.943164,city_park
70,39.71815,-104.96627,downtown
71,39.741541,-105.00322,downtown
72,39.779649,-104.965437,city_park
73,39.854956,-104.680523,airport
74,39.752104,-104.993384,downtown
75,39.747956,-104.959117,city_park
76,39.836531,-104.674121,airport
77,39.743163,-104.991496,downtown
78,39.726798,-105.000419,downtown
79,39.754536,-104.973043,downtown
80,39.727681,-104.999633,downtown
81,39.737479,-104.962325,city_park
82,39.776999,-104.866736,central_park
83,39.727362,-104.979393,downtown
84,39.732456,-104.971972,downtown
85,39.70445,-104.979113,downtown
86,39.778703,-104.881309,central_park
87,39.75804,-105.000379,downtown
88,39.768502,-104.87986,central_park
89,39.701042,-104.985807,wash_park
90,39.771789,-104.886238,central_park
91,39.700495,-104.953137,wash_park
92,39.775792,-104.880559,central_park
93,39.731668,-104.993441,downtown
94,39.854736,-104.68163,airport
95,39.855084,-104.659858,airport
96,39.774999,-104.889347,central_park
97,39.747859,-104.954003,city_park
98,39.699924,-104.977097,wash_park
99,39.694987,-104.974045,wash_park
100,39.757647,-104.978978,downtown
101,39.754303,-104.891432,central_park
102,39.85922,-104.668675,airport
103,39.753561,-105.00299,downtown
104,39.778029,-104.889889,central_park
105,39.753099,-104.977729,downtown
106,39.760917,-104.875729,central_park
107,39.757288,-105.000534,downtown
108,39.780195,-104.907995,central_park
109,39.738442,-105.001045,downtown
110,39.77894,-104.907694,central_park
111,39.703145,-104.949002,wash_park
112,39.752935,-105.007379,downtown
113,39.743712,-105.002478,downtown
114,39.74122,-104.998576,downtown
115,39.74232,-104.980271,downtown
116,39.780416,-104.887005,central_park
117,39.833334,-104.653767,airport
118,39.752594,-104.957213,city_park
119,39.783621,-104.857291,central_park
120,39.747496,-104.982231,downtown
121,39.699682,-104.954911,wash_park
122,39.738155,-104.94461,city_park
123,39.739051,-104.990975,downtown
124,39.75702,-104.889577,central_park
125,39.700448,-104.98003,wash_park
126,39.734606,-104.999521,downtown
127,39.748414,-105.005924,downtown
128,39.735471,-104.978848,downtown
129,39.746524,-104.948994,city_park
130,39.761997,-104.961606,city_park
131,39.766171,-104.89174,central_park
132,39.756224,-104.954975,city_park
133,39.73522,-104.963429,city_park
134,39.741519,-104.952042,city_park
135,39.762503,-104.967448,city_park
136,39.749569,-104.982963,downtown
137,39.846678,-104.654634,airport
138,39.701674,-104.977573,wash_park
139,39.746606,-104.988925,downtown
140,39.750281,-104.95878,city_park
141,39.743491,-104.960744,city_park
142,39.848625,-104.673383,airport
143,39.872764,-104.673003,airport
144,39.71325,-104.962162,wash_park
145,39.750862,-104.994084,downtown
146,39.739298,-104.966994,downtown
147,39.752712,-104.971888,city_park
148,39.752292,-104.901581,central_park
149,39.760389,-104.897436,central_park
150,39.75411,-104.968224,city_park
151,39.772048,-104.898605,central_park
152,39.739447,-104.973204,downtown
153,39.691086,-104.972248,wash_park
154,39.74645,-104.985694,downtown
155,39.733913,-104.976754,downtown
156,39.741008,-104.971962,downtown
157,39.714411,-104.965178,wash_park
158,39.742124,-104.950876,city_park
159,39.758948,-104.963948,city_park
160,39.866686,-104.689714,airport
161,39.757305,-104.954586,city_park
162,39.719988,-104.993659,wash_park
163,39.747804,-104.970081,city_park
164,39.857396,-104.665398,airport
165,39.756902,-104.95303,city_park
166,39.851147,-104.669623,airport
167,39.757703,-104.942966,city_park
168,39.729062,-104.980743,downtown
169,39.73583,-104.995364,downtown
170,39.75728,-104.95136,city_park
171,39.731342,-104.972312,downtown
172,39.748238,-104.977661,city_park
173,39.740922,-104.989131,downtown
174,39.757281,-104.955006,city_park
175,39.858932,-104.690795,airport
176,39.711337,-104.972491,wash_park
177,39.74219,-104.985203,downtown
178,39.849647,-104.676992,airport
179,39.856742,-104.680932,airport
180,39.856036,-104.679618,airport
181,39.709666,-104.971262,wash_park
182,39.733491,-104.973601,downtown
183,39.75988,-104.873503,central_park
184,39.734079,-105.005998,downtown
185,39.741944,-105.013454,downtown
186,39.876908,-104.649938,airport
187,39.698935,-104.959603,wash_park
188,39.73887,-104.955411,city_park
189,39.707073,-104.975092,wash_park
190,39.760129,-104.901964,central_park
191,39.690049,-104.962301,wash_park
192,39.770213,-104.863366,central_park
193,39.737362,-104.953672,city_park
194,39.702747,-104.946711,wash_park
195,39.722671,-104.957158,wash_park
196,39.725807,-104.986677,downtown
197,39.767195,-104.950801,city_park
198,39.743416,-104.969448,downtown
199,39.750552,-105.003041,downtown
200,39.763472,-104.98844,downtown
201,39.737035,-105.003952,downtown
202,39.699747,-104.986102,wash_park
203,39.749178,-104.960112,city_park
204,39.736142,-104.999882,downtown
205,39.843969,-104.671231,airport
206,39.747771,-104.965752,city_park
207,39.704003,-104.960947,wash_park
208,39.740981,-104.984634,downtown
209,39.74849,-104.962657,city_park
210,39.72322,-104.98839,downtown
211,39.764441,-104.886509,central_park
212,39.741671,-104.982204,downtown
213,39.751511,-104.988983,downtown
214,39.751731,-104.99275,downtown
215,39.870227,-104.656472,airport
216,39.757105,-104.966244,city_park
217,39.742057,-104.952201,city_park
218,39.749825,-104.99525,downtown
219,39.701816,-104.96725,wash_park
220,39.861465,-104.671445,airport
221,39.845499,-104.637538,airport
222,39.740437,-105.006618,downtown
223,39.70685,-104.955578,wash_park
224,39.729435,-104.946617,city_park
225,39.76775,-104.869285,central_park
226,39.854589,-104.702785,airport
227,39.742763,-104.973189,downtown
228,39.74102,-104.986092,downtown
229,39.726421,-104.985371,downtown
230,39.741019,-104.971626,downtown
231,39.690382,-104.964788,wash_park
232,39.775798,-104.901336,central_park
233,39.865722,-104.678812,airport
234,39.734886,-104.975996,city_park
235,39.710428,-104.966864,wash_park
236,39.739115,-105.005873,downtown
237,39.750046,-104.97739,downtown
238,39.867126,-104.678683,airport
239,39.750496,-104.953343,city_park
240,39.744668,-104.946814,city_park
241,39.757672,-104.995708,downtown
242,39.893621,-104.688084,airport
243,39.85575,-104.670287,airport
244,39.690729,-104.966789,wash_park
245,39.778037,-104.87053,central_park
246,39.851732,-104.673427,airport
247,39.731755,-104.974821,downtown
248,39.765106,-104.868813,central_park
249,39.756453,-104.997725,downtown
250,39.847757,-104.67078,airport
251,39.749198,-104.992574,downtown
252,39.762601,-104.95631,city_park
253,39.742488,-104.95099,city_park
254,39.748567,-104.971803,city_park
255,39.708632,-104.955492,wash_park
256,39.758175,-104.877958,central_park
257,39.752707,-104.993061,downtown
258,39.746088,-104.977565,downtown
259,39.882084,-104.653019,airport
260,39.767647,-104.883561,central_park
261,39.689121,-104.969805,wash_park
262,39.745217,-104.932477,city_park
263,39.772999,-104.86982,central_park
264,39.758507,-104.96174,city_park
265,39.777781,-104.892277,central_park
266,39.684922,-104.955739,wash_park
267,39.751497,-104.963839,city_park
268,39.707655,-105.013314,downtown
269,39.755399,-104.943003,city_park
270,39.727338,-104.995115,downtown
271,39.745182,-104.948016,city_park
272,39.849536,-104.677516,airport
273,39.720907,-104.96463,wash_park
274,39.708718,-104.980982,wash_park
275,39.868192,-104.704165,airport
276,39.759495,-104.951732,city_park
277,39.870011,-104.691543,airport
278,39.737097,-104.957153,city_park
279,39.692687,-104.96062,wash_park
280,39.7133,-104.984268,downtown
281,39.734097,-105.00657,downtown
282,39.784376,-104.904021,central_park
283,39.741522,-104.937539,city_park
284,39.70688,-104.972332,wash_park
285,39.723899,-105.010141,downtown
286,39.772283,-104.8978,central_park
287,39.725657,-105.008445,downtown
288,39.740548,-104.979356,city_park
289,39.741582,-104.999883,downtown
290,39.755509,-104.943297,city_park
291,39.857711,-104.680765,airport
292,39.748772,-105.002404,downtown
293,39.743945,-104.993773,downtown
294,39.747808,-104.945788,city_park
295,39.746442,-105.014613,downtown
296,39.862001,-104.662849,airport
297,39.727033,-104.999256,downtown
298,39.747988,-104.931816,city_park
299,39.730596,-104.981162,downtown
300,39.727434,-104.997153,downtown
301,39.764756,-104.853186,central_park
302,39.854121,-104.65838,airport
303,39.855994,-104.677504,airport
304,39.834448,-104.673166,airport
305,39.743331,-105.005935,downtown
306,39.738896,-104.967649,city_park
307,39.853435,-104.691014,airport
308,39.690027,-104.988716,wash_park
309,39.852198,-104.661638,airport
310,39.855619,-104.678884,airport
311,39.739102,-104.997757,downtown
312,39.71334,-104.998145,downtown
313,39.764125,-104.966693,city_park
314,39.744386,-105.002573,downtown
315,39.704803,-104.980911,wash_park
316,39.744559,-104.991827,downtown
317,39.782742,-104.89983,central_park
318,39.790189,-104.889428,central_park
319,39.748423,-104.956944,city_park
320,39.733651,-104.949972,city_park
321,39.840071,-104.685004,airport
322,39.778172,-104.879488,central_park
323,39.74879,-105.000544,downtown
324,39.773147,-104.880733,central_park
325,39.712145,-104.975488,wash_park
326,39.76344,-104.932668,city_park
327,39.734683,-104.990049,downtown
328,39.779737,-104.875066,central_park
329,39.855059,-104.702664,airport
330,39.747719,-104.961945,city_park
331,39.757421,-104.946892,city_park
332,39.750461,-104.955928,city_park
333,39.725012,-104.944751,city_park
334,39.784845,-104.874329,central_park
335,39.757334,-104.95657,city_park
336,39.749885,-104.949307,city_park
